EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	0	0	1	0	3.030027923455054E+002	1.0467849E+000	1.0465684E+000	3.506151297390001E-003	3.000000000000000E+000	-1.2706022E-002	-6.3973498E-001	3.6694271E-006	1.6863034E+000
2	0	0	1	0	3.030227923450002E+002	1.0457847E+000	1.0455769E+000	3.472376380765748E-003	3.000000000000000E+000	-1.2705952E-002	-6.3972312E-001	3.6306367E-006	1.6853001E+000
2	0	0	1	0	3.030427923444950E+002	1.0447844E+000	1.0445516E+000	3.456705306840991E-003	3.000000000000000E+000	-1.2705883E-002	-6.3952380E-001	3.6107069E-006	1.6840754E+000
2	0	0	1	0	3.030627923439897E+002	1.0437843E+000	1.0435718E+000	3.464612797365083E-003	3.000000000000000E+000	-1.2705814E-002	-6.3898629E-001	3.6155725E-006	1.6825581E+000
2	0	0	1	0	3.030827923434845E+002	1.0427840E+000	1.0425783E+000	3.412948395432783E-003	3.000000000000000E+000	-1.2705745E-002	-6.3884509E-001	3.5582661E-006	1.6814234E+000
2	0	0	1	0	3.031027923429792E+002	1.0417837E+000	1.0415795E+000	3.392482082239842E-003	3.000000000000000E+000	-1.2705678E-002	-6.3885832E-001	3.5335399E-006	1.6804378E+000
2	0	0	1	0	3.031227923424740E+002	1.0407835E+000	1.0406040E+000	3.370497390682840E-003	3.000000000000000E+000	-1.2705610E-002	-6.3890338E-001	3.5073531E-006	1.6795074E+000
2	0	0	1	0	3.031428923419662E+002	1.0397855E+000	1.0395958E+000	3.334700838740401E-003	3.000000000000000E+000	-1.2705543E-002	-6.3890648E-001	3.4667412E-006	1.6785023E+000
2	0	0	0	0	3.031629923414584E+002	1.0387831E+000	1.0385693E+000	3.309676688230765E-003	3.000000000000000E+000	-1.2705477E-002	-6.3895029E-001	3.4373286E-006	1.6775196E+000
2	0	0	0	0	3.031829923409532E+002	1.0377828E+000	1.0376087E+000	3.280611284531526E-003	3.000000000000000E+000	-1.2705411E-002	-6.3907880E-001	3.4039908E-006	1.6766875E+000
2	0	0	0	0	3.032029923404480E+002	1.0367826E+000	1.0365716E+000	3.245767365620447E-003	3.000000000000000E+000	-1.2705346E-002	-6.3923281E-001	3.3644703E-006	1.6758044E+000
2	0	0	0	0	3.032229923399427E+002	1.0357823E+000	1.0355697E+000	3.230176548337738E-003	3.000000000000000E+000	-1.2705281E-002	-6.3916415E-001	3.3450729E-006	1.6747339E+000
2	0	0	0	0	3.032429923394375E+002	1.0347822E+000	1.0345591E+000	3.206403210747848E-003	3.000000000000000E+000	-1.2705217E-002	-6.3904172E-001	3.3172137E-006	1.6736009E+000
2	0	0	0	0	3.032629923389322E+002	1.0337819E+000	1.0335698E+000	3.188066282341938E-003	3.000000000000000E+000	-1.2705154E-002	-6.3844317E-001	3.2950891E-006	1.6720130E+000
2	0	0	0	0	3.032829923384270E+002	1.0327816E+000	1.0325722E+000	3.188388982380282E-003	3.000000000000000E+000	-1.2705090E-002	-6.3767624E-001	3.2922417E-006	1.6702484E+000
2	0	0	0	0	3.033029923379218E+002	1.0317814E+000	1.0315267E+000	3.135638448535857E-003	3.000000000000000E+000	-1.2705027E-002	-6.3736951E-001	3.2344949E-006	1.6688962E+000
2	0	0	0	0	3.033229923374165E+002	1.0307811E+000	1.0305852E+000	3.104424320150031E-003	3.000000000000000E+000	-1.2704965E-002	-6.3726830E-001	3.1993736E-006	1.6678535E+000
2	0	0	0	0	3.033429923369113E+002	1.0297810E+000	1.0295660E+000	3.088598557345307E-003	3.000000000000000E+000	-1.2704903E-002	-6.3717949E-001	3.1799163E-006	1.6667455E+000
2	0	0	0	0	3.033629923364060E+002	1.0287807E+000	1.0286087E+000	3.066658891435106E-003	3.000000000000000E+000	-1.2704842E-002	-6.3707459E-001	3.1543921E-006	1.6656833E+000
2	0	0	0	0	3.033829923359008E+002	1.0277804E+000	1.0275335E+000	3.035086726514345E-003	3.000000000000000E+000	-1.2704781E-002	-6.3705575E-001	3.1186532E-006	1.6645893E+000
2	0	0	0	0	3.034029923353955E+002	1.0267802E+000	1.0265920E+000	3.015090097202730E-003	3.000000000000000E+000	-1.2704721E-002	-6.3725752E-001	3.0952674E-006	1.6638496E+000
2	0	0	0	0	3.034229923348903E+002	1.0257800E+000	1.0256006E+000	3.000647892703358E-003	3.000000000000000E+000	-1.2704661E-002	-6.3733512E-001	3.0774663E-006	1.6629357E+000
2	0	0	0	0	3.034429923343851E+002	1.0247797E+000	1.0245571E+000	2.972149201418174E-003	3.000000000000000E+000	-1.2704602E-002	-6.3730466E-001	3.0451367E-006	1.6618618E+000
2	0	0	0	0	3.034629923338798E+002	1.0237795E+000	1.0235891E+000	2.953333708218348E-003	3.000000000000000E+000	-1.2704543E-002	-6.3723922E-001	3.0230003E-006	1.6608284E+000
2	0	0	0	0	3.034829923333746E+002	1.0227792E+000	1.0226061E+000	2.944275802898737E-003	3.000000000000000E+000	-1.2704484E-002	-6.3689858E-001	3.0108345E-006	1.6595047E+000
2	0	0	0	0	3.035029923328693E+002	1.0217791E+000	1.0216180E+000	2.951247874484093E-003	3.000000000000000E+000	-1.2704425E-002	-6.3605207E-001	3.0150479E-006	1.6576700E+000
2	0	0	0	0	3.035229923323641E+002	1.0207788E+000	1.0205375E+000	2.908418382503438E-003	3.000000000000000E+000	-1.2704367E-002	-6.3498741E-001	2.9681501E-006	1.6555250E+000
2	0	0	0	0	3.035429923318588E+002	1.0197785E+000	1.0195175E+000	2.903996412391682E-003	3.000000000000000E+000	-1.2704309E-002	-6.3367736E-001	2.9606754E-006	1.6531949E+000
2	0	0	0	0	3.035629923313536E+002	1.0187783E+000	1.0185568E+000	2.869503528523228E-003	3.000000000000000E+000	-1.2704251E-002	-6.3205421E-001	2.9227524E-006	1.6506110E+000
2	0	0	0	0	3.035829923308484E+002	1.0177780E+000	1.0176226E+000	2.837883600982943E-003	3.000000000000000E+000	-1.2704195E-002	-6.3124609E-001	2.8878944E-006	1.6488687E+000
2	0	0	0	0	3.036029923303431E+002	1.0167779E+000	1.0165794E+000	2.812538028188614E-003	3.000000000000000E+000	-1.2704139E-002	-6.3121009E-001	2.8591683E-006	1.6477895E+000
2	0	0	0	0	3.036229923298379E+002	1.0157776E+000	1.0155753E+000	2.788072492775340E-003	3.000000000000000E+000	-1.2704083E-002	-6.3158405E-001	2.8314976E-006	1.6471593E+000
2	0	0	0	0	3.036429923293326E+002	1.0147774E+000	1.0146517E+000	2.770873399640557E-003	3.000000000000000E+000	-1.2704027E-002	-6.3180512E-001	2.8114714E-006	1.6464567E+000
2	0	0	0	0	3.036629923288274E+002	1.0137771E+000	1.0135723E+000	2.751610392402244E-003	3.000000000000000E+000	-1.2703972E-002	-6.3196719E-001	2.7889562E-006	1.6455395E+000
2	0	0	0	0	3.036829923283221E+002	1.0127769E+000	1.0126413E+000	2.720238921028798E-003	3.000000000000000E+000	-1.2703918E-002	-6.3186949E-001	2.7546262E-006	1.6445107E+000
2	0	0	0	0	3.037029923278169E+002	1.0117767E+000	1.0115831E+000	2.738524718046800E-003	3.000000000000000E+000	-1.2703863E-002	-6.3161689E-001	2.7702454E-006	1.6431999E+000
2	0	0	0	0	3.037229923273117E+002	1.0107765E+000	1.0106024E+000	2.715339336241920E-003	3.000000000000000E+000	-1.2703809E-002	-6.3163567E-001	2.7441283E-006	1.6422380E+000
2	0	0	0	0	3.037429923268064E+002	1.0097762E+000	1.0095706E+000	2.676577407732521E-003	3.000000000000000E+000	-1.2703755E-002	-6.3180745E-001	2.7021938E-006	1.6413780E+000
2	0	0	0	0	3.037629923263012E+002	1.0087759E+000	1.0086249E+000	2.659544610044881E-003	3.000000000000000E+000	-1.2703702E-002	-6.3200444E-001	2.6824830E-006	1.6406293E+000
2	0	0	0	0	3.037829923257959E+002	1.0077758E+000	1.0075401E+000	2.633171564108736E-003	3.000000000000000E+000	-1.2703650E-002	-6.3216025E-001	2.6530261E-006	1.6397004E+000
2	0	0	0	0	3.038029923252907E+002	1.0067755E+000	1.0066177E+000	2.603923259812294E-003	3.000000000000000E+000	-1.2703598E-002	-6.3237774E-001	2.6211551E-006	1.6389954E+000
2	0	0	0	0	3.038229923247854E+002	1.0057752E+000	1.0056114E+000	2.593345012024265E-003	3.000000000000000E+000	-1.2703545E-002	-6.3270354E-001	2.6078974E-006	1.6383150E+000
2	0	0	0	0	3.038429923242802E+002	1.0047750E+000	1.0045956E+000	2.582710544932837E-003	3.000000000000000E+000	-1.2703494E-002	-6.3293093E-001	2.5945797E-006	1.6375265E+000
2	0	0	0	0	3.038629923237750E+002	1.0037748E+000	1.0036148E+000	2.560140497735126E-003	3.000000000000000E+000	-1.2703443E-002	-6.3300437E-001	2.5693948E-006	1.6366191E+000
2	0	0	0	0	3.038829923232697E+002	1.0027746E+000	1.0025566E+000	2.539191532681194E-003	3.000000000000000E+000	-1.2703393E-002	-6.3279164E-001	2.5456832E-006	1.6353482E+000
2	0	0	0	0	3.039029923227645E+002	1.0017743E+000	1.0015397E+000	2.531902789390486E-003	3.000000000000000E+000	-1.2703341E-002	-6.3223439E-001	2.5358013E-006	1.6337740E+000
2	0	0	0	0	3.039229923222592E+002	1.0007740E+000	1.0006036E+000	2.526050106098403E-003	3.000000000000000E+000	-1.2703291E-002	-6.3203323E-001	2.5275749E-006	1.6326368E+000
2	0	0	0	0	3.039429923217540E+002	9.9977386E-001	9.9961954E-001	2.503476599789190E-003	3.000000000000000E+000	-1.2703241E-002	-6.3210589E-001	2.5025240E-006	1.6317254E+000
2	0	0	0	0	3.039629923212487E+002	9.9877363E-001	9.9855393E-001	2.494295555152345E-003	3.000000000000000E+000	-1.2703191E-002	-6.3221085E-001	2.4906888E-006	1.6307647E+000
2	0	0	0	0	3.039830923207410E+002	9.9776894E-001	9.9759889E-001	2.465344900813835E-003	3.000000000000000E+000	-1.2703142E-002	-6.3229847E-001	2.4594253E-006	1.6298974E+000
2	0	0	1	0	3.040031923202332E+002	9.9677324E-001	9.9656266E-001	2.446530534143676E-003	3.000000000000000E+000	-1.2703093E-002	-6.3236088E-001	2.4381211E-006	1.6289235E+000
2	0	0	1	0	3.040231923197280E+002	9.9577302E-001	9.9553096E-001	2.418184816431461E-003	3.000000000000000E+000	-1.2703044E-002	-6.3245606E-001	2.4073779E-006	1.6279870E+000
2	0	0	1	0	3.040431923192227E+002	9.9477273E-001	9.9464238E-001	2.387402169915752E-003	3.000000000000000E+000	-1.2702997E-002	-6.3265741E-001	2.3746113E-006	1.6272998E+000
2	0	0	1	0	3.040631923187175E+002	9.9377239E-001	9.9354184E-001	2.375492514248533E-003	3.000000000000000E+000	-1.2702949E-002	-6.3270497E-001	2.3601513E-006	1.6262468E+000
2	0	0	1	0	3.040831923182122E+002	9.9277228E-001	9.9252921E-001	2.365624446004709E-003	3.000000000000000E+000	-1.2702902E-002	-6.3263518E-001	2.3479515E-006	1.6251644E+000
2	0	0	1	0	3.041031923177070E+002	9.9177206E-001	9.9158877E-001	2.339165686862547E-003	3.000000000000000E+000	-1.2702855E-002	-6.3250554E-001	2.3194905E-006	1.6240942E+000
2	0	0	1	0	3.041231923172018E+002	9.9077177E-001	9.9062276E-001	2.343597419086213E-003	3.000000000000000E+000	-1.2702809E-002	-6.3194901E-001	2.3216210E-006	1.6225717E+000
2	0	0	1	0	3.041431923166965E+002	9.8977154E-001	9.8958158E-001	2.349823439039434E-003	3.000000000000000E+000	-1.2702762E-002	-6.3153291E-001	2.3253419E-006	1.6211145E+000
2	0	0	1	0	3.041631923161913E+002	9.8877132E-001	9.8857212E-001	2.301356242848364E-003	3.000000000000000E+000	-1.2702716E-002	-6.3148117E-001	2.2750567E-006	1.6200533E+000
2	0	0	1	0	3.041831923156860E+002	9.8777109E-001	9.8755211E-001	2.291172522341689E-003	3.000000000000000E+000	-1.2702670E-002	-6.3151431E-001	2.2626523E-006	1.6190665E+000
2	0	0	1	0	3.042031923151808E+002	9.8677081E-001	9.8659039E-001	2.271892971192661E-003	3.000000000000000E+000	-1.2702624E-002	-6.3152486E-001	2.2414279E-006	1.6181152E+000
2	0	0	1	0	3.042231923146755E+002	9.8577058E-001	9.8555869E-001	2.247557124469002E-003	3.000000000000000E+000	-1.2702580E-002	-6.3156706E-001	2.2150994E-006	1.6171257E+000
2	0	0	1	0	3.042431923141703E+002	9.8477036E-001	9.8452169E-001	2.233634983592012E-003	3.000000000000000E+000	-1.2702535E-002	-6.3173008E-001	2.1990620E-006	1.6162517E+000
2	0	0	1	0	3.042631923136651E+002	9.8377013E-001	9.8354089E-001	2.214507400923244E-003	3.000000000000000E+000	-1.2702491E-002	-6.3190740E-001	2.1780586E-006	1.6154482E+000
2	0	0	1	0	3.042831923131598E+002	9.8276985E-001	9.8260474E-001	2.187846027380962E-003	3.000000000000000E+000	-1.2702447E-002	-6.3184881E-001	2.1497879E-006	1.6144536E+000
2	0	0	1	0	3.043031923126546E+002	9.8176974E-001	9.8154753E-001	2.177151359218346E-003	3.000000000000000E+000	-1.2702404E-002	-6.3162005E-001	2.1369776E-006	1.6131675E+000
2	0	0	1	0	3.043231923121493E+002	9.8076940E-001	9.8056048E-001	2.176813696375270E-003	3.000000000000000E+000	-1.2702360E-002	-6.3107675E-001	2.1344977E-006	1.6116372E+000
2	0	0	1	0	3.043431923116441E+002	9.7976917E-001	9.7956157E-001	2.166660905358081E-003	3.000000000000000E+000	-1.2702317E-002	-6.3069987E-001	2.1223777E-006	1.6102614E+000
2	0	0	1	0	3.043631923111388E+002	9.7876889E-001	9.7855520E-001	2.133979787484162E-003	3.000000000000000E+000	-1.2702274E-002	-6.3056785E-001	2.0882169E-006	1.6091230E+000
2	0	0	1	0	3.043831923106336E+002	9.7776878E-001	9.7759253E-001	2.115932793256236E-003	3.000000000000000E+000	-1.2702232E-002	-6.3051856E-001	2.0685200E-006	1.6081111E+000
2	0	0	1	0	3.044031923101284E+002	9.7676855E-001	9.7658837E-001	2.091824287264095E-003	3.000000000000000E+000	-1.2702190E-002	-6.3048363E-001	2.0428513E-006	1.6070720E+000
2	0	0	1	0	3.044231923096231E+002	9.7576839E-001	9.7556514E-001	2.081459246659922E-003	3.000000000000000E+000	-1.2702148E-002	-6.3046104E-001	2.0305990E-006	1.6060262E+000
2	0	0	1	0	3.044431923091179E+002	9.7476804E-001	9.7456223E-001	2.071404756457521E-003	3.000000000000000E+000	-1.2702107E-002	-6.3053185E-001	2.0187128E-006	1.6050941E+000
2	0	0	1	0	3.044631923086126E+002	9.7376782E-001	9.7356331E-001	2.050690815344251E-003	3.000000000000000E+000	-1.2702066E-002	-6.3062197E-001	1.9964773E-006	1.6041853E+000
2	0	0	1	0	3.044831923081074E+002	9.7276759E-001	9.7257829E-001	2.034982568552036E-003	3.000000000000000E+000	-1.2702025E-002	-6.3073272E-001	1.9791801E-006	1.6033111E+000
2	0	0	1	0	3.045031923076021E+002	9.7176743E-001	9.7158056E-001	2.024125811052119E-003	3.000000000000000E+000	-1.2701985E-002	-6.3062221E-001	1.9666013E-006	1.6022028E+000
2	0	0	1	0	3.045231923070969E+002	9.7076720E-001	9.7057432E-001	1.999672539871732E-003	3.000000000000000E+000	-1.2701945E-002	-6.3053846E-001	1.9408308E-006	1.6011128E+000
2	0	0	1	0	3.045431923065917E+002	9.6976697E-001	9.6957976E-001	2.021336251548055E-003	3.000000000000000E+000	-1.2701905E-002	-6.2993228E-001	1.9598467E-006	1.5995121E+000
2	0	0	1	0	3.045631923060864E+002	9.6876669E-001	9.6860951E-001	1.999125381997955E-003	3.000000000000000E+000	-1.2701865E-002	-6.2937337E-001	1.9363717E-006	1.5979829E+000
2	0	0	1	0	3.045831923055812E+002	9.6776646E-001	9.6754712E-001	1.969115490889337E-003	3.000000000000000E+000	-1.2701826E-002	-6.2926656E-001	1.9052121E-006	1.5968137E+000
2	0	0	1	0	3.046031923050759E+002	9.6676624E-001	9.6655679E-001	1.959011356626031E-003	3.000000000000000E+000	-1.2701787E-002	-6.2932378E-001	1.8934958E-006	1.5958805E+000
2	0	0	1	0	3.046231923045707E+002	9.6576601E-001	9.6557599E-001	1.942999831145351E-003	3.000000000000000E+000	-1.2701748E-002	-6.2936115E-001	1.8761140E-006	1.5949371E+000
2	0	0	1	0	3.046431923040655E+002	9.6476573E-001	9.6456873E-001	1.917654454498721E-003	3.000000000000000E+000	-1.2701710E-002	-6.2934661E-001	1.8497095E-006	1.5939153E+000
2	0	0	1	0	3.046631923035602E+002	9.6376550E-001	9.6357304E-001	1.908895269783294E-003	3.000000000000000E+000	-1.2701672E-002	-6.2951142E-001	1.8393600E-006	1.5930845E+000
2	0	0	1	0	3.046831923030550E+002	9.6276528E-001	9.6257633E-001	1.901019513853595E-003	3.000000000000000E+000	-1.2701634E-002	-6.2973934E-001	1.8298764E-006	1.5923157E+000
2	0	0	1	0	3.047031923025497E+002	9.6176505E-001	9.6159130E-001	1.882715947027061E-003	3.000000000000000E+000	-1.2701596E-002	-6.2974834E-001	1.8104033E-006	1.5913396E+000
2	0	0	1	0	3.047231923020445E+002	9.6076477E-001	9.6060419E-001	1.874186776856530E-003	3.000000000000000E+000	-1.2701559E-002	-6.2968081E-001	1.8003517E-006	1.5902851E+000
2	0	0	1	0	3.047431923015392E+002	9.5976454E-001	9.5957881E-001	1.846697843373279E-003	3.000000000000000E+000	-1.2701522E-002	-6.2956065E-001	1.7720522E-006	1.5891395E+000
2	0	0	1	0	3.047631923010340E+002	9.5876431E-001	9.5856303E-001	1.839609034302858E-003	3.000000000000000E+000	-1.2701485E-002	-6.2900281E-001	1.7633812E-006	1.5875659E+000
2	0	0	1	0	3.047831923005288E+002	9.5776409E-001	9.5759177E-001	1.845546582444513E-003	3.000000000000000E+000	-1.2701449E-002	-6.2853819E-001	1.7672802E-006	1.5861299E+000
2	0	0	1	0	3.048031923000235E+002	9.5676380E-001	9.5654941E-001	1.822574324352094E-003	3.000000000000000E+000	-1.2701413E-002	-6.2853551E-001	1.7433823E-006	1.5850849E+000
2	0	0	1	0	3.048231922995183E+002	9.5576358E-001	9.5556659E-001	1.806011022280375E-003	3.000000000000000E+000	-1.2701376E-002	-6.2866616E-001	1.7257638E-006	1.5842328E+000
2	0	0	1	0	3.048432922990105E+002	9.5476663E-001	9.5454854E-001	1.797296998867728E-003	3.000000000000000E+000	-1.2701340E-002	-6.2883914E-001	1.7156073E-006	1.5833876E+000
2	0	0	0	0	3.048633922985027E+002	9.5376313E-001	9.5361024E-001	1.778390368498456E-003	3.000000000000000E+000	-1.2701305E-002	-6.2899834E-001	1.6958912E-006	1.5826086E+000
2	0	0	0	0	3.048833922979975E+002	9.5276284E-001	9.5255733E-001	1.757542904670117E-003	3.000000000000000E+000	-1.2701269E-002	-6.2925857E-001	1.6741604E-006	1.5818160E+000
2	0	0	0	0	3.049033922974922E+002	9.5176274E-001	9.5158297E-001	1.750673340312557E-003	3.000000000000000E+000	-1.2701235E-002	-6.2949002E-001	1.6659109E-006	1.5810730E+000
2	0	0	0	0	3.049233922969870E+002	9.5076251E-001	9.5054489E-001	1.745328182955246E-003	3.000000000000000E+000	-1.2701200E-002	-6.2949187E-001	1.6590128E-006	1.5800368E+000
2	0	0	0	0	3.049433922964818E+002	9.4976223E-001	9.4954389E-001	1.717516598041084E-003	3.000000000000000E+000	-1.2701166E-002	-6.2937701E-001	1.6308574E-006	1.5789208E+000
2	0	0	0	0	3.049633922959765E+002	9.4876200E-001	9.4859290E-001	1.720507897011385E-003	3.000000000000000E+000	-1.2701131E-002	-6.2891400E-001	1.6320615E-006	1.5775069E+000
2	0	0	0	0	3.049833922954713E+002	9.4776177E-001	9.4760156E-001	1.725349949285575E-003	3.000000000000000E+000	-1.2701097E-002	-6.2856472E-001	1.6349443E-006	1.5761663E+000
2	0	0	0	0	3.050033922949660E+002	9.4676155E-001	9.4656235E-001	1.684374825850279E-003	3.000000000000000E+000	-1.2701063E-002	-6.2855226E-001	1.5943658E-006	1.5751146E+000
2	0	0	0	0	3.050233922944608E+002	9.4576126E-001	9.4555610E-001	1.682894650406931E-003	3.000000000000000E+000	-1.2701030E-002	-6.2862599E-001	1.5912713E-006	1.5741820E+000
2	0	0	0	0	3.050433922939555E+002	9.4476104E-001	9.4454145E-001	1.679582381257205E-003	3.000000000000000E+000	-1.2700996E-002	-6.2871838E-001	1.5864352E-006	1.5732598E+000
2	0	0	0	0	3.050633922934503E+002	9.4376081E-001	9.4355953E-001	1.656465935108535E-003	3.000000000000000E+000	-1.2700964E-002	-6.2872988E-001	1.5629743E-006	1.5722895E+000
2	0	0	0	0	3.050833922929451E+002	9.4276059E-001	9.4252795E-001	1.643259161028258E-003	3.000000000000000E+000	-1.2700930E-002	-6.2885624E-001	1.5488177E-006	1.5713842E+000
2	0	0	0	0	3.051033922924398E+002	9.4176030E-001	9.4153321E-001	1.628083957156280E-003	3.000000000000000E+000	-1.2700898E-002	-6.2896359E-001	1.5328951E-006	1.5704968E+000
2	0	0	0	0	3.051233922919346E+002	9.4076008E-001	9.4056737E-001	1.607326814337291E-003	3.000000000000000E+000	-1.2700866E-002	-6.2901205E-001	1.5117992E-006	1.5695794E+000
2	0	0	0	0	3.051433922914293E+002	9.3975985E-001	9.3957275E-001	1.604922592175888E-003	3.000000000000000E+000	-1.2700834E-002	-6.2896883E-001	1.5079415E-006	1.5685415E+000
2	0	0	0	0	3.051633922909241E+002	9.3875962E-001	9.3860459E-001	1.594858226578970E-003	3.000000000000000E+000	-1.2700803E-002	-6.2892807E-001	1.4969413E-006	1.5675327E+000
2	0	0	0	0	3.051833922904189E+002	9.3775934E-001	9.3754226E-001	1.586508450802488E-003	3.000000000000000E+000	-1.2700771E-002	-6.2837940E-001	1.4874188E-006	1.5659217E+000
2	0	0	0	0	3.052033922899136E+002	9.3675911E-001	9.3656456E-001	1.598172348975727E-003	3.000000000000000E+000	-1.2700739E-002	-6.2804073E-001	1.4967916E-006	1.5646052E+000
2	0	0	0	0	3.052233922894084E+002	9.3575901E-001	9.3553090E-001	1.558649038795722E-003	3.000000000000000E+000	-1.2700708E-002	-6.2792414E-001	1.4581643E-006	1.5634551E+000
2	0	0	0	0	3.052433922889031E+002	9.3475866E-001	9.3459451E-001	1.531676661316959E-003	3.000000000000000E+000	-1.2700677E-002	-6.2780195E-001	1.4314966E-006	1.5623965E+000
2	0	0	0	0	3.052633922883979E+002	9.3375838E-001	9.3356925E-001	1.528130834837311E-003	3.000000000000000E+000	-1.2700647E-002	-6.2738770E-001	1.4266160E-006	1.5609570E+000
2	0	0	0	0	3.052833922878926E+002	9.3275827E-001	9.3254924E-001	1.521826357929973E-003	3.000000000000000E+000	-1.2700616E-002	-6.2744176E-001	1.4191780E-006	1.5599910E+000
2	0	0	0	0	3.053033922873874E+002	9.3175805E-001	9.3155140E-001	1.507794519157973E-003	3.000000000000000E+000	-1.2700587E-002	-6.2765455E-001	1.4045880E-006	1.5592060E+000
2	0	0	0	0	3.053233922868822E+002	9.3075776E-001	9.3057805E-001	1.502693393073665E-003	3.000000000000000E+000	-1.2700557E-002	-6.2787002E-001	1.3983735E-006	1.5584481E+000
2	0	0	0	0	3.053433922863769E+002	9.2975754E-001	9.2953783E-001	1.484865547758497E-003	3.000000000000000E+000	-1.2700527E-002	-6.2788117E-001	1.3802387E-006	1.5574191E+000
2	0	0	0	0	3.053633922858717E+002	9.2875731E-001	9.2861229E-001	1.457406821120659E-003	3.000000000000000E+000	-1.2700498E-002	-6.2765241E-001	1.3533659E-006	1.5562646E+000
2	0	0	0	0	3.053833922853664E+002	9.2775708E-001	9.2756045E-001	1.466748644209776E-003	3.000000000000000E+000	-1.2700468E-002	-6.2715495E-001	1.3604980E-006	1.5547154E+000
2	0	0	0	0	3.054033922848612E+002	9.2675680E-001	9.2655522E-001	1.484198921894452E-003	3.000000000000000E+000	-1.2700439E-002	-6.2684512E-001	1.3751923E-006	1.5534003E+000
2	0	0	0	0	3.054233922843559E+002	9.2575657E-001	9.2556596E-001	1.444986053482148E-003	3.000000000000000E+000	-1.2700411E-002	-6.2682950E-001	1.3374299E-006	1.5523955E+000
2	0	0	0	0	3.054433922838507E+002	9.2475635E-001	9.2455333E-001	1.432780180645455E-003	3.000000000000000E+000	-1.2700382E-002	-6.2690371E-001	1.3246816E-006	1.5514570E+000
2	0	0	0	0	3.054633922833455E+002	9.2375612E-001	9.2355245E-001	1.425756754744930E-003	3.000000000000000E+000	-1.2700354E-002	-6.2699938E-001	1.3167611E-006	1.5505519E+000
2	0	0	0	0	3.054833922828402E+002	9.2275596E-001	9.2253029E-001	1.408327749939226E-003	3.000000000000000E+000	-1.2700326E-002	-6.2703067E-001	1.2992250E-006	1.5495610E+000
2	0	0	0	0	3.055033922823350E+002	9.2175561E-001	9.2155695E-001	1.405972982562770E-003	3.000000000000000E+000	-1.2700298E-002	-6.2715286E-001	1.2956842E-006	1.5487099E+000
2	0	0	0	0	3.055233922818297E+002	9.2075539E-001	9.2054105E-001	1.399626925881928E-003	3.000000000000000E+000	-1.2700270E-002	-6.2733626E-001	1.2884141E-006	1.5478773E+000
2	0	0	0	0	3.055433922813245E+002	9.1975516E-001	9.1958261E-001	1.379459440310409E-003	3.000000000000000E+000	-1.2700242E-002	-6.2744361E-001	1.2685268E-006	1.5470262E+000
2	0	0	0	0	3.055633922808192E+002	9.1875499E-001	9.1853923E-001	1.366141167535622E-003	3.000000000000000E+000	-1.2700215E-002	-6.2736613E-001	1.2548542E-006	1.5459054E+000
2	0	0	0	0	3.055833922803140E+002	9.1775477E-001	9.1756684E-001	1.348656536012845E-003	3.000000000000000E+000	-1.2700188E-002	-6.2705106E-001	1.2374825E-006	1.5446179E+000
2	0	0	0	0	3.056033922798088E+002	9.1675454E-001	9.1655648E-001	1.347295625338224E-003	3.000000000000000E+000	-1.2700161E-002	-6.2650776E-001	1.2348725E-006	1.5430642E+000
